AgeGroup,State,Income,NeedsPct,WantsPct,SavingsPct,DebtLoad,PersonaLabel
18-22,Bihar,54902,44,21,35,0,iyer
29-39,Maharashtra,62199,31,49,20,10,sodhi
29-39,Kerala,155533,30,46,24,3,roshan
60+,Delhi,248066,21,60,19,14,babita
18-22,Goa,262385,79,12,9,10,abdul
29-39,Maharashtra,151019,33,37,30,3,komal
22-28,Karnataka,273800,76,24,0,6,abdul
40-60,Rajasthan,40172,19,7,74,0,popatlal
29-39,Bihar,207855,12,1,87,0,popatlal
60+,Rajasthan,172129,44,28,28,1,daya
18-22,Bihar,33097,31,52,17,5,mehta
40-60,Maharashtra,277508,32,47,21,5,champaklal
29-39,Bihar,284594,81,10,9,16,abdul
18-22,Karnataka,115149,42,18,40,6,tapu
60+,UP,188805,31,29,40,8,roshan
60+,Rajasthan,206077,44,44,12,7,komal
18-22,Kerala,97347,53,49,-2,56,jethalal
18-22,Kerala,280917,46,14,40,0,madhavi
60+,Goa,152742,39,26,35,9,tapu
29-39,Goa,142091,40,42,18,4,iyer
29-39,UP,267587,25,-8,83,0,popatlal
29-39,Kerala,134603,34,59,7,66,jethalal
60+,Bihar,101860,42,44,14,11,daya
40-60,Kerala,262570,31,35,34,2,iyer
22-28,Bihar,210822,19,0,81,0,popatlal
29-39,Karnataka,285116,38,38,24,12,bagha
22-28,Delhi,212044,81,12,7,3,abdul
22-28,Karnataka,152360,34,46,20,15,iyer
40-60,Maharashtra,98109,46,26,28,12,roshan
40-60,Karnataka,63677,31,37,32,10,champaklal
29-39,Kerala,137618,38,57,5,43,jethalal
18-22,Maharashtra,192350,57,45,-2,79,jethalal
18-22,Rajasthan,214350,45,45,10,54,jethalal
22-28,Bihar,202651,22,58,20,19,babita
18-22,Karnataka,179299,30,60,10,21,babita
29-39,Kerala,169647,39,33,28,14,daya
29-39,UP,250717,37,41,22,7,sodhi
22-28,Bihar,78479,35,30,35,10,bagha
18-22,Bihar,105365,41,19,40,3,komal
18-22,Goa,167741,45,26,29,6,sodhi
60+,Karnataka,36697,42,35,23,7,komal
40-60,Kerala,264573,31,34,35,14,champaklal
60+,Goa,299197,72,21,7,11,abdul
40-60,Kerala,293465,47,13,40,13,madhavi
40-60,Maharashtra,257741,37,35,28,6,tapu
18-22,Karnataka,225279,51,53,-4,67,jethalal
22-28,UP,268708,36,5,59,0,bhide
40-60,Bihar,228349,50,40,10,12,mehta
60+,UP,201457,21,55,24,11,babita
22-28,Bihar,145685,40,55,5,44,jethalal
60+,Karnataka,93590,31,56,13,7,iyer
29-39,Goa,73389,34,47,19,11,roshan
60+,UP,224785,47,18,35,5,tapu
18-22,Maharashtra,47973,49,35,16,0,tapu
18-22,Goa,99520,34,32,34,14,bagha
40-60,Karnataka,123163,31,51,18,1,daya
29-39,Goa,275443,38,37,25,14,champaklal
22-28,Kerala,181749,34,30,36,0,anjali
40-60,Rajasthan,296665,37,9,54,0,bhide
60+,Bihar,287237,41,35,24,8,sodhi
